Chip,Plate_Location,Population_Name,no_accent_pop_name,Sample,CEL_file_name,Sex,Paternal_ID,Maternal_ID,Phenotype,Notes,Owner,Private/Public,City,State/Province,Country,Region,Latitude,Longitude,Year,Include_in_chip_manuscript
1,C09,Goudiry,Goudiry,Goud_009,Goud_009,M,,,,,Andrea Gloria-Soria,,Goudiry,Tambacounda,Senegal,Africa,14.184435,-12.716725,2012,yes
1,C10,Goudiry,Goudiry,Goud_010,Goud_010,M,,,,,Andrea Gloria-Soria,,Goudiry,Tambacounda,Senegal,Africa,14.184435,-12.716725,2012,yes
1,C11,Goudiry,Goudiry,Goud_011,Goud_011,M,,,,,Andrea Gloria-Soria,,Goudiry,Tambacounda,Senegal,Africa,14.184435,-12.716725,2012,yes
1,C12,Goudiry,Goudiry,Goud_012,Goud_012,M,,,,,Andrea Gloria-Soria,,Goudiry,Tambacounda,Senegal,Africa,14.184435,-12.716725,2012,yes
1,D01,Puerto_Rico,Puerto_Rico,PR_045,PR_045,M,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D02,Puerto_Rico,Puerto_Rico,PR_046,PR_046,M,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D03,Puerto_Rico,Puerto_Rico,PR_047,PR_047,M,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D04,Puerto_Rico,Puerto_Rico,PR_048,PR_048,M,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D05,Puerto_Rico,Puerto_Rico,PR_049,PR_049,M,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D06,Puerto_Rico,Puerto_Rico,PR_051,PR_051,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D07,Puerto_Rico,Puerto_Rico,PR_052,PR_052,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D08,Puerto_Rico,Puerto_Rico,PR_053,PR_053,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D09,Puerto_Rico,Puerto_Rico,PR_054,PR_054,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D10,Puerto_Rico,Puerto_Rico,PR_055,PR_055,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D11,Puerto_Rico,Puerto_Rico,PR_056,PR_056,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,D12,Puerto_Rico,Puerto_Rico,PR_057,PR_057,F,,,,,Andrea Gloria-Soria,,Patillas,Puerto_Rico,USA,New_World,18.006792,-66.015716,2014,yes
1,E01,Jeddah,Jeddah,ASJ001_06,ASJ001_06,F,,,,Al-Manara 2 district,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E02,Jeddah,Jeddah,ASJ001_08,ASJ001_08,F,,,,Al-Manara 2 district,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E03,Jeddah,Jeddah,ASJ001_09,ASJ001_09,F,,,,Al-Manara 2 district,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E04,Jeddah,Jeddah,ASJ001_10,ASJ001_10,M,,,,Al-Manara 2 district,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E05,Jeddah,Jeddah,ASJ001_11,ASJ001_11,,,,,"Al-Manara 2 district, FAILED",Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E06,Jeddah,Jeddah,ASJ001_12,ASJ001_12,,,,,Al-Manara 2 district,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E07,Jeddah,Jeddah,ASJ004_21,ASJ004_21,,,,,Al-Rahmanyia,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E08,Jeddah,Jeddah,ASJ004_22,ASJ004_22,,,,,Al-Rahmanyia,Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E09,Jeddah,Jeddah,ASJ006_01,ASJ006_01,,,,,"Al-Salama 2 district, sleeping room",Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E10,Jeddah,Jeddah,ASJ006_02,ASJ006_02,,,,,"Al-Salama 2 district, sleeping room",Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E11,Jeddah,Jeddah,ASJ007_02,ASJ007_02,M,,,,Al-Salama 2 district (plastic containers),Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,E12,Jeddah,Jeddah,ASJ007_03,ASJ007_03,M,,,,Al-Salama 2 district (plastic containers),Andrea Gloria-Soria,,Jeddah,,Saudi_Arabia,Asia_Pacific,24.71147,46.719532,2012,
1,F01,Tucson,Tucson,Tucs_01,Tucs_01,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F02,Tucson,Tucson,Tucs_02,Tucs_02,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F03,Tucson,Tucson,Tucs_03,Tucs_03,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F04,Tucson,Tucson,Tucs_04,Tucs_04,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F05,Tucson,Tucson,Tucs_05,Tucs_05,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F06,Tucson,Tucson,Tucs_06,Tucs_06,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F07,Tucson,Tucson,Tucs_07,Tucs_07,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F08,Tucson,Tucson,Tucs_08,Tucs_08,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F09,Tucson,Tucson,Tucs_09,Tucs_09,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F10,Tucson,Tucson,Tucs_10,Tucs_10,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F11,Tucson,Tucson,Tucs_11,Tucs_11,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,F12,Tucson,Tucson,Tucs_12,Tucs_12,F,,,,,Andrea Gloria-Soria,,Tucson,Arizona,USA,New_World,32.210246,-110.918824,2013,
1,G01,Maraba,Maraba,Mar_001,Mar_001,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G02,Maraba,Maraba,Mar_02,Mar_02,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G03,Maraba,Maraba,Mar_003,Mar_003,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G04,Maraba,Maraba,Mar_004,Mar_004,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G05,Maraba,Maraba,Mar_005,Mar_005,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G06,Maraba,Maraba,Mar_006,Mar_006,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G07,Maraba,Maraba,Mar_007,Mar_007,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
